,radius,density
0,0.05,0.0
1,0.15000000000000002,0.0
2,0.25,0.0
3,0.35000000000000003,0.0
4,0.45,0.0
5,0.55,0.0
6,0.6500000000000001,0.0
7,0.75,0.0
8,0.8500000000000001,0.0
9,0.95,0.0
10,1.05,0.0
11,1.1500000000000001,0.0
12,1.25,0.0
13,1.35,0.0
14,1.4500000000000002,0.0
15,1.55,0.0
16,1.6500000000000001,0.0
17,1.75,0.0
18,1.85,0.0
19,1.9500000000000002,0.14123786175928152
20,2.05,0.0
21,2.1500000000000004,0.0
22,2.25,0.0
23,2.3500000000000005,0.0
24,2.45,0.08947940048158833
25,2.55,0.0
26,2.6500000000000004,0.0
27,2.75,0.0
28,2.8500000000000005,0.19838210947969592
29,2.95,0.12344113387004257
30,3.05,0.0
31,3.1500000000000004,0.10826496490919701
32,3.25,0.25426380603871845
33,3.3500000000000005,0.23931155370855373
34,3.45,0.0902561748906975
35,3.55,0.4262163455893671
36,3.6500000000000004,0.6854117599561619
37,3.75,0.72573965515038
38,3.8500000000000005,1.0871535884911616
39,3.95,0.6196845128844541
40,4.050000000000001,0.5567142459956853
41,4.15,1.621816298413334
42,4.25,1.7248273141734172
43,4.35,2.384499140823758
44,4.45,1.1663950869374935
45,4.550000000000001,2.9578769329378
46,4.65,1.2172757226914879
47,4.75,1.6189043016958249
48,4.8500000000000005,1.872537455281554
49,4.95,1.4468859226832376
50,5.050000000000001,1.1373976753935842
51,5.15,0.9721396522348059
52,5.25,2.299671451390249
53,5.3500000000000005,1.050953116917559
54,5.45,1.4286880957378405
55,5.550000000000001,1.046330918303252
56,5.65,1.0432754324501523
57,5.75,0.7636014530260032
58,5.8500000000000005,0.9417691649011812
59,5.95,1.0165907935139653
60,6.050000000000001,1.0713163846203224
61,6.15,0.5822903332123865
62,6.25,1.4438947033083558
63,6.3500000000000005,0.7726576188729215
64,6.45,1.1491518006404398
65,6.550000000000001,1.114331724325472
66,6.65,1.1660986225721497
67,6.75,1.0492767301041197
68,6.8500000000000005,0.8700420842734843
69,6.95,1.223294736692256
70,7.050000000000001,0.7997637730389049
71,7.15,0.9351609587137815
72,7.25,1.1343722765980508
73,7.3500000000000005,0.9247345730155287
74,7.45,1.2775278863304866
75,7.550000000000001,0.99889798423121
76,7.65,1.2483184163785588
77,7.75,1.3504640901475204
78,7.8500000000000005,1.2988428430699288
79,7.95,1.138886220970603
80,8.05,1.1107670200001876
81,8.15,1.237332124298826
82,8.25,1.041780539462701
83,8.350000000000001,1.2712217834350623
84,8.45,0.7523103509049083
85,8.55,1.1463122722039634
86,8.65,1.3855933198911274
87,8.75,1.3962004289782202
88,8.850000000000001,1.2413748328888252
89,8.95,1.019315252824923
90,9.05,0.9772377046043603
91,9.15,0.8982496332136529
92,9.25,0.9793826967043925
93,9.350000000000001,0.8971003332074488
94,9.45,1.2932613958970613
95,9.55,1.2722092927065847
96,9.650000000000002,1.1421475195236936
97,9.75,0.9323660031596898
98,9.850000000000001,1.0796275140732967
99,9.95,0.954945033737986
100,10.05,0.9147623129923804
101,10.150000000000002,1.1053906512012215
102,10.25,0.8998642865272322
103,10.350000000000001,1.1533451181345027
104,10.45,0.9592111978306928
105,10.55,1.2982538909261105
106,10.650000000000002,0.876162872115028
107,10.75,1.1667268299374796
108,10.850000000000001,0.8076556572562552
109,10.95,0.6854498690862965
110,11.05,0.9722552062210043
111,11.150000000000002,1.049951290049168
112,11.25,0.6281586357177282
113,11.350000000000001,1.1300308037480065
114,11.45,0.8645383147239789
115,11.55,1.0549943497174583
116,11.650000000000002,0.807404515424453
117,11.75,0.6808872750859408
118,11.850000000000001,0.8071582703826276
119,11.95,0.6507636433848388
120,12.05,0.8545764436481029
121,12.150000000000002,0.8114567538920444
122,12.25,0.708771302182041
123,12.350000000000001,0.9156986705751806
124,12.45,1.2233456763160213
125,12.55,0.9344936122674767
126,12.650000000000002,1.2252510279246571
127,12.75,0.9417546817894994
128,12.850000000000001,0.8555843363609136
129,12.95,1.1371092225339594
130,13.05,1.4036291738068378
131,13.150000000000002,1.1742314956735076
132,13.25,0.8169452784632373
133,13.350000000000001,0.7746117580695812
134,13.45,0.7393810260833197
135,13.55,0.9654924944758014
136,13.650000000000002,0.821661879460292
137,13.75,0.9120386552269271
138,13.850000000000001,0.9577236153306111
139,13.95,0.946802440720401
140,14.05,0.8735063657455181
141,14.150000000000002,1.0329078213149707
142,14.25,0.6798563152498638
143,14.350000000000001,0.9417099648171596
144,14.45,0.9981822018123636
145,14.55,0.8754007666739858
146,14.650000000000002,0.876005095649265
147,14.75,0.66417435033346
148,14.850000000000001,0.920773422329531
149,14.95,0.754677091824802
150,15.05,0.7992282510940651
151,15.150000000000002,0.919774217654917
152,15.25,1.023241171844685
153,15.350000000000001,0.9552372531302217
154,15.45,0.9811683472729097
155,15.55,0.9952478642390816
156,15.650000000000002,0.8180770213770013
157,15.75,0.9419811354129112
158,15.850000000000001,0.7975618679225392
159,15.95,0.9142829537841259
160,16.05,0.811173298792647
161,16.15,0.7723254578482709
162,16.25,0.7547121334425126
