,radius,density
0,0.05,0.0
1,0.15000000000000002,0.0
2,0.25,0.0
3,0.35000000000000003,0.0
4,0.45,0.0
5,0.55,0.0
6,0.6500000000000001,0.0
7,0.75,0.0
8,0.8500000000000001,0.0
9,0.95,0.0
10,1.05,0.0
11,1.1500000000000001,0.0
12,1.25,0.0
13,1.35,0.0
14,1.4500000000000002,0.0
15,1.55,0.0
16,1.6500000000000001,0.0
17,1.75,0.0
18,1.85,0.0
19,1.9500000000000002,0.0
20,2.05,0.0
21,2.1500000000000004,0.0
22,2.25,0.0
23,2.3500000000000005,0.0
24,2.45,0.0
25,2.55,0.0
26,2.6500000000000004,0.0
27,2.75,0.0
28,2.8500000000000005,0.0
29,2.95,0.0
30,3.05,0.0
31,3.1500000000000004,0.0
32,3.25,0.0
33,3.3500000000000005,0.00023833142202029408
34,3.45,0.0002247162973795384
35,3.55,0.00010611768023569535
36,3.6500000000000004,0.00010038302451117457
37,3.75,9.510095969925668e-05
38,3.8500000000000005,9.02250840951573e-05
39,3.95,0.0002571443808830375
40,4.050000000000001,0.0
41,4.15,0.0
42,4.25,7.404151115910057e-05
43,4.35,7.067658075940854e-05
44,4.45,0.0
45,4.550000000000001,0.0
46,4.65,6.185154138602836e-05
47,4.75,0.0
48,4.8500000000000005,5.6855738836781384e-05
49,4.95,5.458181866020491e-05
50,5.050000000000001,5.24416349459107e-05
51,5.15,5.04249024721838e-05
52,5.25,0.0
53,5.3500000000000005,0.00018690157166468692
54,5.45,4.5026478394250475e-05
55,5.550000000000001,0.0003473485111751221
56,5.65,0.00016758105835696608
57,5.75,0.00012135223781767175
58,5.8500000000000005,0.0002735576743740296
59,5.95,7.555426964902864e-05
60,6.050000000000001,0.0002557705712410655
61,6.15,0.00017680045341110666
62,6.25,6.84752878182717e-05
63,6.3500000000000005,0.00016583902991285668
64,6.45,0.00012858935949720913
65,6.550000000000001,0.0001870395224789815
66,6.65,0.00015121389499177153
67,6.75,0.00044030025858273863
68,6.8500000000000005,0.00022802071405621357
69,6.95,0.00013844142880793827
70,7.050000000000001,0.0
71,7.15,2.6160979915965642e-05
72,7.25,0.00017811000334822384
73,7.3500000000000005,0.00012378322606625727
74,7.45,2.409650765546609e-05
75,7.550000000000001,7.038727834123655e-05
76,7.65,9.14121886361376e-05
77,7.75,6.680131233217638e-05
78,7.8500000000000005,6.511023134708176e-05
79,7.95,0.00014812597662560833
80,8.05,2.0638390461970395e-05
81,8.15,0.00010067520172910115
82,8.25,3.929976482405261e-05
83,8.350000000000001,5.754615130819425e-05
84,8.45,5.619218742885476e-05
85,8.55,1.8295150653010175e-05
86,8.65,8.937295606788404e-05
87,8.75,1.7468368190655484e-05
88,8.850000000000001,8.537918648575721e-05
89,8.95,8.348195018333935e-05
90,9.05,6.531780537563243e-05
91,9.15,0.0001757192514505219
92,9.25,0.0003126190727890958
93,9.350000000000001,0.00013768553554506814
94,9.45,0.00017971600118151575
95,9.55,0.00014664337888642894
96,9.650000000000002,0.00022979185966777606
97,9.75,0.0001969645950277474
98,9.850000000000001,0.00019298564900526797
99,9.95,9.456303298872638e-05
100,10.05,0.00013241508497117575
101,10.150000000000002,9.087315633345713e-05
102,10.25,0.0001272981214414051
103,10.350000000000001,0.00016230520386548798
104,10.45,0.00018370819677566245
105,10.55,0.00013217754600589206
106,10.650000000000002,0.00010612391749905965
107,10.75,9.25855257368061e-05
108,10.850000000000001,5.680422303298195e-05
109,10.95,8.923431630394868e-05
110,11.05,8.762653467743907e-05
111,11.150000000000002,7.53040899482041e-05
112,11.25,8.453863919959264e-05
113,11.350000000000001,0.00018687497299870565
114,11.45,0.00021422923211701915
115,11.55,0.00016040816530167996
116,11.650000000000002,0.00012810379783935848
117,11.75,7.74969842770064e-05
118,11.850000000000001,0.00014286477163262304
119,11.95,5.619349907394772e-05
120,12.05,7.368626963956919e-05
121,12.150000000000002,0.00014495665056424376
122,12.25,8.912480263248067e-05
123,12.350000000000001,7.891860350854505e-05
124,12.45,6.902749600587805e-05
125,12.55,0.00011888072814535625
126,12.650000000000002,0.00010865087042775294
127,12.75,9.87260634348459e-05
128,12.850000000000001,7.289659326847603e-05
129,12.95,0.00013557524462860692
130,13.05,0.00013350543407859885
131,13.150000000000002,0.00011601411482097031
132,13.25,6.094377322085769e-05
133,13.350000000000001,0.0001425811814848807
134,13.45,7.393100347721006e-05
135,13.55,5.827504206113331e-05
136,13.650000000000002,6.460236758216877e-05
137,13.75,7.781414409074222e-05
138,13.850000000000001,6.275007456062888e-05
139,13.95,0.00011683469163785852
140,14.05,7.45266111460925e-05
141,14.150000000000002,0.000140274192624811
142,14.25,0.00016465755715423992
143,14.350000000000001,7.144310080908443e-05
144,14.45,8.967342931301128e-05
145,14.55,0.00012635006501902321
146,14.650000000000002,0.00010593638673194636
147,14.75,8.606280601198616e-05
148,14.850000000000001,0.00016375040618863456
149,14.95,8.37755333342726e-05
150,15.05,0.00012990361992267228
151,15.150000000000002,0.00014567543930579495
152,15.25,0.00010351527299346398
153,15.350000000000001,8.514244818095999e-05
