,nofit,onefit,manyfit
0,,,4P3W0
1,,,4P3W0
2,,,4P3W0
3,,,4P3W0
4,,,4BD70
5,,,4BD70
6,,,3FOU0
7,,,3FOU0
8,,,3FOU0
9,,,3FOU0
10,,,3FOU0
11,,,3FOU0
12,,,6U3Z0
13,,,6NDE0
14,,,6NDE0
15,,,6NDE0
16,,,6NDE0
17,,,6NDE0
18,,,6NDE0
19,,,2VSY0
20,,,2VSY0
21,,,2VSY0
22,,,2F1R0
23,,,2ZNR0
24,,,6U040
25,,,5NGY0
26,,,5NGY0
27,,,5NGY0
28,,,5NGY0
29,,,5NGY0
30,,,5NGY0
