,x,y
0,2.941235200704606,4.714623094620672
1,8.539357525594651,9.996100493840238
2,2.626295033787258,4.488841178538954
3,3.72644706508813,4.476104274881748
4,2.753851842271545,4.156335907973532
5,10.556529710830588,10.774642455178963
6,3.4411894071977596,3.5402524237513164
7,2.7818482373739783,2.9678073329518173
8,3.0334683615231115,4.923717365623404
9,2.7504070311183315,4.6410317130488785
10,3.3575460538086834,4.693882338769235
11,8.860774573477428,9.698040291371434
12,2.7230416142408003,3.569344843329029
13,8.704723041657195,10.588331571108474
14,7.822312270990054,9.319871218448135
15,2.3589853125727243,2.4607209477186176
16,2.7600910197751625,3.2670387996477905
17,10.547130077381233,11.270990278747657
18,4.131742358674859,6.250310955098673
19,4.7305863226500895,6.350698778076449
20,3.733501309069053,3.734973028222934
21,8.091209206911726,8.283406204863356
22,3.038384888318601,5.153344284586364
23,6.286014332655834,7.477536409302605
24,11.085358215722716,12.453507268775216
25,7.868877375775488,7.9867842795405934
26,2.710627414837494,4.19883894625125
27,4.201914380657208,5.977164617538372
28,3.632730582334137,5.205538194760132
29,2.601031534613897,3.9726460050448913
30,4.625427047117438,5.825908534509075
31,3.261033366207772,4.022362639284163
32,4.405542011751062,6.418614864034324
33,2.5010804914410856,3.61647488749319
34,5.50903932029393,6.194374382448228
35,9.10348560784461,10.67980982682306
36,3.5258408365723066,4.28532054224827
37,2.740286339226362,2.9044301890965984
38,7.671036788881577,7.817417888772826
39,3.9165104381920495,4.440428047125116
40,13.363662331406298,13.863530140982762
41,3.367565661497845,3.4190792348258596
42,12.784401912370928,13.524443204453336
43,4.160509856205063,6.089250434054359
44,2.6558981771093246,4.762762722201194
45,3.3838156213921784,5.501819468571095
46,2.813626643822261,4.645470642640692
47,12.785150747182438,13.524001363161048
48,4.768499203042231,6.170381073903291
49,2.6913348801942742,4.714016703437429
50,3.3918927826541254,3.47436296105767
51,2.9279759390614264,3.711299177792019
52,8.338608277286935,9.832067555012785
53,2.7730169648973435,4.851597895506407
54,2.887396924382311,4.905101103028653
55,4.367480152593949,4.9831602791416385
56,2.6205884256682057,4.356668006661176
57,15.093521106852355,15.62931006012322
58,2.9130494450697713,3.6783888303827013
59,10.836572159039974,12.32172153547633
60,9.812427397241446,11.943228892490088
61,2.745001055109775,3.1566611990813014
62,6.272598145545723,6.914522527650425
63,2.6145155132019906,4.67524132229299
64,2.5138238390184564,2.951341482912851
65,2.9729784761604012,3.392485933687801
66,4.3978690176038855,5.598936117165265
67,4.0088229833881135,5.908505623886234
68,16.39797743978115,17.91852925705091
69,3.056006505274066,3.804173379642845
70,12.784574664139914,13.524227997465244
71,3.5620982351690404,4.3699832021069565
