,radius,density
0,0.05,0.0
1,0.15000000000000002,0.0
2,0.25,0.0
3,0.35000000000000003,0.0
4,0.45,0.0
5,0.55,0.0
6,0.6500000000000001,0.0
7,0.75,0.0
8,0.8500000000000001,0.0
9,0.95,0.0
10,1.05,0.0
11,1.1500000000000001,0.0
12,1.25,0.0
13,1.35,0.0
14,1.4500000000000002,0.0
15,1.55,0.0
16,1.6500000000000001,0.0
17,1.75,0.0
18,1.85,0.0
19,1.9500000000000002,0.0
20,2.05,0.19130869135141873
21,2.1500000000000004,0.0
22,2.25,0.3176303618092682
23,2.3500000000000005,0.873531417480285
24,2.45,1.6073754122874413
25,2.55,0.7418972623089876
26,2.6500000000000004,2.7478719672801777
27,2.75,3.0832822979418384
28,2.8500000000000005,2.9697200631202962
29,2.95,2.4022392779194344
30,3.05,1.5558311273000716
31,3.1500000000000004,2.1879365181195
32,3.25,1.7508759783102539
33,3.3500000000000005,1.9345075777967815
34,3.45,1.8915506228607997
35,3.55,1.148459316660804
36,3.6500000000000004,1.267461960389523
37,3.75,1.1435897596309017
38,3.8500000000000005,0.9222137208231086
39,3.95,1.0822570937143647
40,4.050000000000001,1.5687234938858812
41,4.15,1.213904926388162
42,4.25,1.2910071109116181
43,4.35,1.1048523436053517
44,4.45,1.0963620626900836
45,4.550000000000001,1.5536323284117737
46,4.65,0.818141778244347
47,4.75,1.6037541277494736
48,4.8500000000000005,1.4357504479741936
49,4.95,1.9690403465716788
50,5.050000000000001,1.734180406309971
51,5.15,2.122259417568156
52,5.25,1.5170508537060279
53,5.3500000000000005,1.7137132697615651
54,5.45,1.4077537323864073
55,5.550000000000001,1.3835876819704926
56,5.65,1.88921577577117
57,5.75,1.5322246564200692
58,5.8500000000000005,1.5507798915372784
59,5.95,1.7035137448978932
60,6.050000000000001,1.406008253057539
61,6.15,1.148054466280386
62,6.25,1.2968799698805962
63,6.3500000000000005,1.4158930681477977
64,6.45,1.4689736194499374
65,6.550000000000001,1.0121182525742694
66,6.65,1.2910272439424106
67,6.75,1.25305863233476
68,6.8500000000000005,1.1824662872625993
69,6.95,1.0654459062055748
70,7.050000000000001,1.5046170049530454
71,7.15,1.2583439253785715
72,7.25,1.6369273763696361
73,7.3500000000000005,1.2949899797673963
74,7.45,1.2314829188938736
75,7.550000000000001,1.5094268053314264
76,7.65,1.415261534362162
77,7.75,1.097824590882917
78,7.8500000000000005,1.1744265365647557
79,7.95,1.2468511924384629
80,8.05,1.2532928470350375
81,8.15,1.0532394541120011
82,8.25,1.3586674115444457
83,8.350000000000001,1.6261833260493264
84,8.45,1.4640415374276732
85,8.55,1.099996624842187
86,8.65,1.1391931010013971
87,8.75,1.428389365318604
88,8.850000000000001,1.3141572649125428
89,8.95,1.154451744676712
90,9.05,1.2567153658235288
91,9.15,1.1909779119509853
92,9.25,1.1747645983196628
93,9.350000000000001,1.2325540402034096
94,9.45,1.2426246072035865
95,9.55,1.2960899890259086
96,9.650000000000002,1.0966643875096034
97,9.75,1.0489074727190075
98,9.850000000000001,1.193479142830117
99,9.95,1.007164479797763
100,10.05,1.0031442108861475
101,10.150000000000002,1.0459182325173821
102,10.25,0.9414179369484793
103,10.350000000000001,0.9007944479975405
104,10.45,1.0088188880619366
105,10.55,0.9247627580380738
106,10.650000000000002,1.0350920718824614
107,10.75,1.0089658677824662
108,10.850000000000001,0.9972839689085798
109,10.95,1.0663368076302682
110,11.05,1.271037376546318
111,11.150000000000002,1.3647664642347546
112,11.25,1.334258330658418
113,11.350000000000001,1.39824095515531
114,11.45,1.073378390175039
115,11.55,1.1392621149169582
116,11.650000000000002,1.113863222764406
117,11.75,1.1182821864476418
118,11.850000000000001,1.1624794725048206
119,11.95,1.2050469315829677
120,12.05,1.2571230911427387
121,12.150000000000002,1.187490158175595
122,12.25,1.0342160008056345
123,12.350000000000001,1.2442402541997302
124,12.45,0.8715589696009893
125,12.55,0.9598351112420381
126,12.650000000000002,1.0050211835529774
127,12.75,1.1080362155034433
128,12.850000000000001,1.0324189005462123
129,12.95,1.030920789802235
130,13.05,1.1757222346154845
131,13.150000000000002,1.03235225002022
132,13.25,1.1542377008890194
133,13.350000000000001,1.1505464351376622
134,13.45,1.0401544248646395
135,13.55,1.0511367322777871
136,13.650000000000002,1.0832657424965386
137,13.75,1.059060009674723
138,13.850000000000001,1.0228617198076426
139,13.95,0.9958531476060308
140,14.05,0.9287715376819522
141,14.150000000000002,1.0442084263651699
142,14.25,0.970204101340538
143,14.350000000000001,1.1168349758182454
144,14.45,1.1360910049212414
145,14.55,1.1851011802013884
146,14.650000000000002,1.094043143179352
147,14.75,1.0903472803209995
148,14.850000000000001,1.1340556675178384
149,14.95,1.0253907330439478
150,15.05,0.9905083439914631
151,15.150000000000002,1.0300279765234754
152,15.25,0.9404943551434888
153,15.350000000000001,0.9521698824757787
154,15.45,0.9466215106918383
155,15.55,0.957764503118389
156,15.650000000000002,1.0670425362099079
157,15.75,1.0665024452394203
158,15.850000000000001,1.0530874981393987
159,15.95,0.9640633539551702
160,16.05,0.9645739609527332
