,nofit,onefit,manyfit
0,"('4Z2Y0', 2188)",,
1,"('1DVW5', 261)",,
2,"('1DVW6', 261)",,
3,"('1DVW7', 261)",,
4,"('1DVW8', 261)",,
5,"('1DVW9', 261)",,
6,"('1DVW0', 261)",,
7,"('1DVW1', 261)",,
8,"('1DVW2', 261)",,
9,"('1DVW3', 261)",,
10,"('1DVW4', 261)",,
