,nofit,onefit,manyfit
0,,,3TF60
1,,,3TF60
2,,,3TF60
3,,,3TOR0
4,,,3TOR0
5,,,3TOR0
6,,,3TOR0
7,,,3TOR0
8,,,3TOR0
9,,,3TOR0
10,,,3TOR0
11,,,3TOR0
12,,,4H1P0
13,,,4H1P0
14,,,2PC20
15,,,2PC20
16,,,2PC20
17,,,2PC20
18,,,2PC20
19,,,5G6U0
20,,,5G6U0
21,,,5G6U0
