,atom,min,1st quartile,median,3rd quartile,max,mean,std,fails
0,O,0.0,0.006417235701283126,0.008214867707031143,0.010538528076511485,0.11327659548134526,0.008530909821126946,0.0028824320354267885,7
1,N,0.0,0.0050383551704300256,0.005970572287856276,0.006892188444096397,0.07551773032089684,0.005997602225482188,0.0015599754873808194,7
2,S,0.0,0.00012287934433577712,0.00019099230050124877,0.0002920194986358769,0.014479612789586977,0.0002495369125806783,0.00022883897215273026,7
3,C,0.0007188902212401912,0.01897038391805149,0.0226179831872823,0.026154521468992664,0.15103546064179368,0.02254008995829658,0.005438286126180396,7
