,x,y
0,5.540873394710968,7.4907880745258995
1,2.3398957205672413,2.719104963166511
2,2.2526287613845555,2.8808424745034427
3,2.837792883733195,5.016123693541913
4,2.9571388051575584,5.054802862907079
5,2.4364051432625664,2.443736632085612
6,2.4605608274940725,2.619317486874483
7,2.2422978354936443,2.5127863940116884
8,5.615848666817367,7.550030281343535
9,2.255129626527011,4.0775533395554
10,1.9346813570538528,2.597905249251121
11,7.4834622227684875,9.164979879875286
12,2.1455844947674043,2.6342721838751704
13,3.3729726907273165,3.4181909497877
14,4.25868108294503,5.166534448378958
15,2.3058451490492593,2.9164336125017094
16,2.150404169423208,2.3414634542693697
17,2.4268657843653614,2.442656122752808
18,2.6497579568427807,2.8128280167653203
19,2.8303112129355927,3.205392539797515
20,2.444685094280095,3.158748944018347
21,2.4940396561025118,2.5918061431635953
22,2.9731391249191543,3.115022242493413
23,2.4546951418205665,2.76321101091125
24,2.4244495261095578,3.9161175672605752
25,2.7714521018474594,2.833758797560967
26,2.4246886203548037,2.5192685987795778
27,2.025747545565161,2.6244858955017767
