,radius,density
0,0.05,0.0
1,0.15000000000000002,0.0
2,0.25,0.0
3,0.35000000000000003,0.0
4,0.45,0.0
5,0.55,0.0
6,0.6500000000000001,0.0
7,0.75,0.027397117939883895
8,0.8500000000000001,0.0
9,0.95,0.0
10,1.05,0.0
11,1.1500000000000001,0.011662752976927895
12,1.25,0.0
13,1.35,0.03385822984892412
14,1.4500000000000002,0.10272833763195781
15,1.55,0.23760635017766127
16,1.6500000000000001,0.27769343165260535
17,1.75,0.5290118148457454
18,1.85,0.9963534157124857
19,1.9500000000000002,1.9518705698643524
20,2.05,2.144318756696891
21,2.1500000000000004,1.8159923827838227
22,2.25,1.5606437268612734
23,2.3500000000000005,1.2769834700368432
24,2.45,1.192877512700691
25,2.55,1.0181027410351216
26,2.6500000000000004,1.0482030699989835
27,2.75,0.9264307056216529
28,2.8500000000000005,0.6763726728498859
29,2.95,0.6632180147484904
30,3.05,0.494365336326919
31,3.1500000000000004,0.46658847146527105
32,3.25,0.42663079081646865
33,3.3500000000000005,0.3657885476298016
34,3.45,0.42139084369871943
35,3.55,0.4604396885405925
36,3.6500000000000004,0.4633588122932578
37,3.75,0.5607934838043207
38,3.8500000000000005,0.6018001516986142
39,3.95,0.5806187333882317
40,4.050000000000001,0.6463904865219117
41,4.15,0.6792385528033706
42,4.25,0.6391076717137137
43,4.35,0.6508420150799015
44,4.45,0.6990761319408919
45,4.550000000000001,0.6097942969321227
46,4.65,0.6830612110021977
47,4.75,0.6894894128076627
48,4.8500000000000005,0.7427076433106601
49,4.95,0.7835478829015718
50,5.050000000000001,0.8399682066912056
51,5.15,0.9781600902882633
52,5.25,1.1277116271286072
53,5.3500000000000005,1.0077653510666948
54,5.45,1.1088161818592077
55,5.550000000000001,1.3001994435803192
56,5.65,1.4334640119982005
57,5.75,1.398509763463422
58,5.8500000000000005,1.325401958379168
59,5.95,1.367978003965274
60,6.050000000000001,1.3475859147765945
61,6.15,1.2576018380128735
62,6.25,1.2852425435000159
63,6.3500000000000005,1.3223973034230418
64,6.45,1.4367780935035557
65,6.550000000000001,1.5479275849358252
66,6.65,1.691926395836456
67,6.75,1.6828152056026728
68,6.8500000000000005,1.5379987262403652
69,6.95,1.4835148949372015
70,7.050000000000001,1.3432947852686878
71,7.15,1.3527766869385642
72,7.25,1.4170159812963143
73,7.3500000000000005,1.3627221993508172
74,7.45,1.1993079739972141
75,7.550000000000001,1.129843942726728
76,7.65,1.1332001633603817
77,7.75,1.1092845067292738
78,7.8500000000000005,1.0814533261041195
79,7.95,1.1330480461863515
80,8.05,1.1829520566046634
81,8.15,1.1101861588966253
82,8.25,1.1954530278986484
83,8.350000000000001,1.245130049318843
84,8.45,1.3284475084772447
85,8.55,1.402060096682872
86,8.65,1.3073308576648939
87,8.75,1.360671439327905
88,8.850000000000001,1.3498009781294127
89,8.95,1.348707524567547
90,9.05,1.3192552454444106
91,9.15,1.182183948397181
92,9.25,1.1603691803548708
93,9.350000000000001,1.2002950327366035
94,9.45,1.185741660458994
95,9.55,1.2058837305761487
96,9.650000000000002,1.2047210116171327
97,9.75,1.2457258854101254
98,9.850000000000001,1.1938364501137946
99,9.95,1.1525007543549386
100,10.05,1.1021749967778038
101,10.150000000000002,1.0726246025812016
102,10.25,1.0704537876937985
103,10.350000000000001,1.1077866114734103
104,10.45,1.136010736733708
105,10.55,1.1862662433558089
106,10.650000000000002,1.1393286383842156
107,10.75,1.0945918713941531
108,10.850000000000001,1.0334734049239092
109,10.95,1.0460906785206694
110,11.05,1.071229480422228
111,11.150000000000002,1.087605421236394
112,11.25,1.1120124265967664
113,11.350000000000001,1.147853960202933
114,11.45,1.1006980730901237
115,11.55,1.0802169971912978
116,11.650000000000002,1.068233928867762
117,11.75,1.091154598799925
118,11.850000000000001,1.048856261033376
119,11.95,1.0462903128579357
120,12.05,1.044196171860133
121,12.150000000000002,1.018296564592894
122,12.25,1.0145952613919753
123,12.350000000000001,1.0090584207074857
124,12.45,0.9793722887159892
125,12.55,1.0214449895558495
126,12.650000000000002,1.0475067501139061
127,12.75,1.0751918012075814
128,12.850000000000001,1.0522601567850132
129,12.95,1.0530973798781535
130,13.05,1.0311292583523324
131,13.150000000000002,1.0140783609609352
132,13.25,1.0273120758223484
133,13.350000000000001,1.0131051151102641
134,13.45,0.9932334903076405
135,13.55,0.9839231652873234
136,13.650000000000002,0.9688969168960226
137,13.75,0.9529776330031301
138,13.850000000000001,0.9625183068380085
139,13.95,0.9303686953532763
140,14.05,0.8952807818595323
141,14.150000000000002,0.8684111457225115
142,14.25,0.9188933722804102
143,14.350000000000001,0.9537986171325998
144,14.45,0.9557955703393671
145,14.55,0.9541483845621397
146,14.650000000000002,0.976834672622113
147,14.75,0.989172420622079
148,14.850000000000001,1.0076691203143746
149,14.95,1.0270341924096886
150,15.05,1.0015751053718238
151,15.150000000000002,0.9975416492709827
152,15.25,0.9837720778798894
153,15.350000000000001,0.9807557390813947
154,15.45,0.9554929955836008
155,15.55,0.9560725879990075
156,15.650000000000002,0.9362057219041693
157,15.75,0.9600676258916334
