,enzyme_bool/atom,min,1st quartile,median,3rd quartile,max,mean,std,fails
0,"('enzyme', 'O')",0.0,0.00722238925752765,0.009246907107469659,0.011314670062485462,0.02211255231012526,0.00927351635733342,0.0026899715975690214,2
1,"('enzyme', 'N')",0.0,0.005289066606806358,0.006143547973020561,0.0069554631746436306,0.01602867548405905,0.006111240056378985,0.0013045460358502659,2
2,"('enzyme', 'S')",0.0,0.00011542737127075693,0.0001719677679984225,0.0002410512561549812,0.006826387438036221,0.00020274334702484272,0.00014904145110487151,2
3,"('enzyme', 'C')",0.0007188902212401912,0.020187186272373727,0.02351971114458492,0.02660074277054227,0.05802429322330787,0.023259055013853842,0.004701534534640648,2
4,"('not_enzyme', 'O')",0.0,0.005900764420862858,0.0074733437538271105,0.009535334462816798,0.11327659548134526,0.00788997673244773,0.002889167572933621,5
5,"('not_enzyme', 'N')",0.0,0.004875813391370859,0.005794069178150625,0.006831200732453496,0.07551773032089684,0.005899523037653386,0.001744781868351095,5
6,"('not_enzyme', 'S')",0.0,0.00013155543440205892,0.00021425079486145886,0.0003637369580919913,0.014479612789586977,0.0002899237702768465,0.0002736270274165811,5
7,"('not_enzyme', 'C')",0.0017702730276478037,0.017954060755700267,0.021713683601327985,0.025712602964891855,0.15103546064179368,0.021919561493701147,0.005932239792735473,5
